case_id,expected_rule_id,expected_proof_state,expected_corrective_action,expected_human_review_flag,predicted_rule_id,predicted_proof_state,validated_proof_state,proof_state_confidence,supporting_evidence,missing_evidence,evidence_matrix_json,framework_corrective_action,framework_case_file_summary,human_review_flag,unsupported_claim_flag,legal_validation_passed,evidence_completeness_score,rule_match_flag,model_variant,output_version
CASE_0017,BAS_R03,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,BAS_R03,human_review_required,human_review_required,0.773,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""likely"",""evidence_quality"":""unverified"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0017: Basel-inspired case assessed as human review required based on regulated item and controlled action, domestic/permit mapping available.",yes,no,yes,0.861,yes,EnvLex-Lite,v1.0
CASE_0018,STO_R04,no_violation,Close preliminary review; retain compliance record,no,STO_R04,no_violation,no_violation,0.946,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0018: Stockholm-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.871,yes,EnvLex-Lite,v1.0
CASE_0019,BAS_R04,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,BAS_R04,human_review_required,human_review_required,0.719,regulated item and controlled action; valid evidence quality; domestic/permit mapping available,complete required document; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0019: Basel-inspired case assessed as human review required based on regulated item and controlled action, valid evidence quality, domestic/permit mapping available.",yes,no,yes,0.721,yes,EnvLex-Lite,v1.0
CASE_0020,MON_R03,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,MON_R03,human_review_required,human_review_required,0.602,regulated item and controlled action; threshold exceedance; valid evidence quality,complete required document; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""valid"",""domestic_mapping"":""no"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0020: Montreal-inspired case assessed as human review required based on regulated item and controlled action, threshold exceedance, valid evidence quality.",yes,no,yes,0.74,yes,EnvLex-Lite,v1.0
CASE_0021,STO_R02,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R04,probable_violation,probable_violation,0.587,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0021: Stockholm-inspired case assessed as probable violation based on regulated item and controlled action, document gap, valid evidence quality.",no,yes,no,0.497,no,EnvLex-Lite,v1.0
CASE_0022,MON_R03,no_violation,Close preliminary review; retain compliance record,no,MON_R03,no_violation,no_violation,0.882,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0022: Montreal-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.887,yes,EnvLex-Lite,v1.0
CASE_0023,STO_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,STO_R01,probable_violation,probable_violation,0.63,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0023: Stockholm-inspired case assessed as probable violation based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.954,no,EnvLex-Lite,v1.0
CASE_0024,BAS_R01,insufficient_evidence,Request additional evidence before enforcement classification,no,BAS_R01,insufficient_evidence,insufficient_evidence,0.637,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0024: Basel-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.869,yes,EnvLex-Lite,v1.0
CASE_0025,MON_R01,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,MON_R01,human_review_required,human_review_required,0.751,regulated item and controlled action; valid evidence quality; domestic/permit mapping available,complete required document; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0025: Montreal-inspired case assessed as human review required based on regulated item and controlled action, valid evidence quality, domestic/permit mapping available.",yes,no,yes,0.838,yes,EnvLex-Lite,v1.0
CASE_0026,BAS_R04,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R01,insufficient_evidence,insufficient_evidence,0.485,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0026: Basel-inspired case assessed as insufficient evidence based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.761,no,EnvLex-Lite,v1.0
CASE_0027,ROT_R04,insufficient_evidence,Request additional evidence before enforcement classification,no,ROT_R04,insufficient_evidence,insufficient_evidence,0.629,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0027: Rotterdam-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.764,yes,EnvLex-Lite,v1.0
CASE_0028,MON_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R01,probable_violation,probable_violation,0.699,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0028: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.918,yes,EnvLex-Lite,v1.0
CASE_0029,MON_R03,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R03,probable_violation,probable_violation,0.6,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0029: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.873,yes,EnvLex-Lite,v1.0
CASE_0030,MON_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R02,probable_violation,probable_violation,0.592,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0030: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.928,yes,EnvLex-Lite,v1.0
CASE_0031,MON_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R02,probable_violation,probable_violation,0.849,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0031: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.962,yes,EnvLex-Lite,v1.0
CASE_0032,MIN_R05,no_violation,Close preliminary review; retain compliance record,no,MIN_R05,no_violation,no_violation,0.96,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0032: Minamata-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.98,yes,EnvLex-Lite,v1.0
CASE_0033,ROT_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,ROT_R02,insufficient_evidence,insufficient_evidence,0.852,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0033: Rotterdam-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.726,yes,EnvLex-Lite,v1.0
CASE_0034,MON_R01,no_violation,Close preliminary review; retain compliance record,no,MON_R01,no_violation,no_violation,0.873,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0034: Montreal-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.972,yes,EnvLex-Lite,v1.0
CASE_0035,MON_R03,no_violation,Close preliminary review; retain compliance record,no,MON_R03,no_violation,no_violation,0.897,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0035: Montreal-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.959,yes,EnvLex-Lite,v1.0
CASE_0036,BAS_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,BAS_R02,insufficient_evidence,insufficient_evidence,0.582,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0036: Basel-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.701,yes,EnvLex-Lite,v1.0
CASE_0037,BAS_R01,no_violation,Close preliminary review; retain compliance record,no,BAS_R01,no_violation,no_violation,0.883,threshold exceedance; valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0037: Basel-inspired case assessed as no violation based on threshold exceedance, valid evidence quality.",no,no,yes,0.909,yes,EnvLex-Lite,v1.0
CASE_0038,BAS_R05,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R05,confirmed_violation,confirmed_violation,0.923,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0038: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.893,yes,EnvLex-Lite,v1.0
CASE_0039,ROT_R04,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R04,confirmed_violation,confirmed_violation,0.979,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_0039: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.96,yes,EnvLex-Lite,v1.0
CASE_0040,STO_R02,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R02,probable_violation,probable_violation,0.546,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0040: Stockholm-inspired case assessed as probable violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.902,yes,EnvLex-Lite,v1.0
CASE_0041,MIN_R03,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R03,confirmed_violation,confirmed_violation,0.917,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_0041: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.897,yes,EnvLex-Lite,v1.0
CASE_0042,MON_R05,insufficient_evidence,Request additional evidence before enforcement classification,no,MON_R05,insufficient_evidence,insufficient_evidence,0.661,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0042: Montreal-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance.",no,no,yes,0.758,yes,EnvLex-Lite,v1.0
CASE_0043,MON_R02,confirmed_violation,Suspend ODS activity; provide license and quota compliance record,no,MON_R02,confirmed_violation,confirmed_violation,0.85,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend ODS activity; provide license and quota compliance record,"CASE_0043: Montreal-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.881,yes,EnvLex-Lite,v1.0
CASE_0044,MIN_R01,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R01,confirmed_violation,confirmed_violation,0.893,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_0044: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.971,yes,EnvLex-Lite,v1.0
CASE_0045,MIN_R05,insufficient_evidence,Request additional evidence before enforcement classification,no,MIN_R05,insufficient_evidence,insufficient_evidence,0.81,regulated item and controlled action,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,CASE_0045: Minamata-inspired case assessed as insufficient evidence based on regulated item and controlled action.,no,no,yes,0.798,yes,EnvLex-Lite,v1.0
