case_id,rule_family,candidate_rule_id,entity_type,material_type,action_type,is_regulated_item,is_controlled_action,required_document_status,exemption_status,observed_value,legal_limit,unit,exceedance_ratio,evidence_quality,domestic_mapping_available,prior_warning,repeat_event,inspection_text,normalized_text_length_words,missing_critical_field,structured_text_conflict,rule_applicability,obligation_exists,factual_breach_indicator,evidence_complete,case_complexity_score,rule_logic_type,public_record_flag,deidentified
CASE_0014,Rotterdam-inspired,ROT_R04,waste_handler,restricted_solvent,export,yes,yes,available,not_applicable,2358.5,1843.2,kg,1.28,verified,not_required,no,yes,Audit observation shows activity did not trigger violation condition. Export consent record was reviewed.,14,no,no,yes,no,no,yes,0.31,consent-based,deidentified_rule_mapped,yes
CASE_0015,Basel-inspired,BAS_R03,importer,contaminated_sludge,transfer,yes,yes,expired,not_applicable,649.3,597.7,kg,1.086,valid,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Hazardous waste movement trail was checked.,15,yes,no,yes,yes,likely,partial,0.79,document-based,deidentified_rule_mapped,yes
CASE_0016,Montreal-inspired,MON_R01,storage_operator,controlled_ODS,import,yes,yes,not_required,not_applicable,242,719.3,kg,0.336,valid,yes,yes,yes,Officer remark reports valid documentation and no threshold exceedance. ODS license and quota evidence were examined.,16,no,no,yes,no,no,yes,0.36,quota-based,deidentified_rule_mapped,yes
CASE_0017,Basel-inspired,BAS_R03,chemical_exporter,contaminated_sludge,transfer,yes,yes,partial,unclear,2998.8,3788.6,kg,0.792,unverified,yes,no,no,Inspection note conflicts with structured record and requires officer review. Hazardous waste movement trail was checked.,16,yes,yes,yes,unclear,likely,partial,0.92,document-based,deidentified_rule_mapped,yes
CASE_0018,Stockholm-inspired,STO_R04,waste_handler,POP_contaminated_material,treatment,no,yes,valid,valid,129.5,166.5,kg,0.778,valid,not_required,yes,yes,Officer remark reports valid documentation and no threshold exceedance. POP exemption and disposal status were examined.,16,no,no,no,no,no,yes,0.6,exemption-based,deidentified_rule_mapped,yes
CASE_0019,Basel-inspired,BAS_R04,storage_operator,e_waste_residue,disposal_transfer,yes,yes,partial,not_recorded,1034,1804,kg,0.573,valid,yes,yes,no,Inspection note conflicts with structured record and requires officer review. Hazardous waste movement trail was checked.,16,yes,yes,yes,yes,unknown,partial,0.65,document-based,deidentified_rule_mapped,yes
CASE_0020,Montreal-inspired,MON_R03,importer,HCFC_batch,use,yes,yes,unclear,conflicting,136.6,125.8,kg,1.086,valid,no,yes,yes,Officer remark contains ambiguous mapping and unclear exemption status. ODS license and quota evidence were examined.,16,yes,yes,yes,yes,unknown,partial,0.69,quota-based,deidentified_rule_mapped,yes
CASE_0021,Stockholm-inspired,STO_R02,storage_operator,PCB_stock,storage,yes,yes,missing,invalid,190.6,390.6,kg,0.488,verified,yes,no,no,Audit observation confirms breach indicators with supporting document gap. POP exemption and disposal status were examined.,16,no,no,yes,yes,yes,yes,0.35,exemption-based,deidentified_rule_mapped,yes
CASE_0022,Montreal-inspired,MON_R03,storage_operator,HCFC_batch,use,yes,no,valid,not_applicable,80.9,125.8,kg,0.643,verified,yes,yes,yes,Officer remark reports valid documentation and no threshold exceedance. ODS license and quota evidence were examined.,16,no,no,no,yes,no,yes,0.67,quota-based,deidentified_rule_mapped,yes
CASE_0023,Stockholm-inspired,STO_R02,chemical_exporter,PCB_stock,storage,yes,yes,unclear,unclear,145.9,372.4,kg,0.392,missing,yes,yes,no,Audit observation lacks enough support for a confirmed legal conclusion. POP exemption and disposal status were examined.,17,yes,no,yes,yes,unknown,no,1.01,exemption-based,deidentified_rule_mapped,yes
CASE_0024,Basel-inspired,BAS_R01,chemical_exporter,hazardous_waste,movement,yes,yes,unclear,not_recorded,1074,1440.5,kg,0.746,unverified,yes,no,yes,Inspection note is incomplete and critical evidence could not be verified. Hazardous waste movement trail was checked.,17,yes,no,yes,unclear,unknown,no,0.78,document-based,deidentified_rule_mapped,yes
CASE_0025,Montreal-inspired,MON_R01,importer,controlled_ODS,import,yes,yes,partial,not_recorded,565.4,719.3,kg,0.786,valid,yes,no,yes,Inspection note conflicts with structured record and requires officer review. ODS license and quota evidence were examined.,17,yes,yes,yes,unclear,likely,partial,0.92,quota-based,deidentified_rule_mapped,yes
CASE_0026,Basel-inspired,BAS_R04,industrial_facility,e_waste_residue,disposal_transfer,yes,yes,missing,not_applicable,957.1,2248.9,kg,0.426,valid,yes,yes,no,Audit observation confirms breach indicators with supporting document gap. Hazardous waste movement trail was checked.,15,no,no,yes,yes,yes,yes,0.52,document-based,deidentified_rule_mapped,yes
CASE_0027,Rotterdam-inspired,ROT_R04,importer,restricted_solvent,export,yes,yes,unavailable,not_recorded,1031.4,1263.2,kg,0.816,missing,yes,no,yes,Inspection note is incomplete and critical evidence could not be verified. Export consent record was reviewed.,16,yes,no,yes,unclear,unknown,no,0.56,consent-based,deidentified_rule_mapped,yes
CASE_0028,Montreal-inspired,MON_R01,chemical_exporter,controlled_ODS,import,yes,yes,expired,not_applicable,1160.5,719.3,kg,1.613,partial,yes,no,no,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,yes,no,yes,yes,likely,partial,0.39,quota-based,deidentified_rule_mapped,yes
CASE_0029,Montreal-inspired,MON_R03,industrial_facility,HCFC_batch,use,yes,yes,expired,not_applicable,222.6,125.8,kg,1.769,partial,yes,no,yes,Officer remark reports partial document trail and possible controlled activity. ODS license and quota evidence were examined.,17,no,no,yes,yes,likely,partial,0.83,quota-based,deidentified_rule_mapped,yes
CASE_0030,Montreal-inspired,MON_R02,importer,CFC_stock,production,yes,yes,unclear,not_applicable,306.7,266.5,kg,1.151,partial,yes,yes,no,Officer remark reports partial document trail and possible controlled activity. ODS license and quota evidence were examined.,17,no,no,yes,yes,likely,partial,0.61,quota-based,deidentified_rule_mapped,yes
CASE_0031,Montreal-inspired,MON_R02,waste_handler,CFC_stock,production,yes,yes,expired,not_applicable,558.6,266.5,kg,2.096,partial,yes,yes,yes,Officer remark reports partial document trail and possible controlled activity. ODS license and quota evidence were examined.,17,yes,no,yes,yes,likely,partial,0.57,quota-based,deidentified_rule_mapped,yes
CASE_0032,Minamata-inspired,MIN_R05,chemical_exporter,mercury_air_emission,release,no,yes,available,valid,0.0296,0.0438,mg/L,0.676,valid,not_required,yes,yes,Audit observation shows activity did not trigger violation condition. Mercury value and laboratory evidence were examined.,16,no,no,no,no,no,yes,0.85,threshold-based,deidentified_rule_mapped,yes
CASE_0033,Rotterdam-inspired,ROT_R02,chemical_exporter,hazardous_chemical,cross_border_sale,yes,yes,unclear,unclear,1320.4,2212.3,kg,0.597,missing,yes,yes,yes,Officer remark reports missing record and unverified evidence quality. Export consent record was reviewed.,14,yes,no,yes,unclear,unknown,no,0.63,consent-based,deidentified_rule_mapped,yes
CASE_0034,Montreal-inspired,MON_R01,storage_operator,controlled_ODS,import,no,no,valid,valid,503.4,719.3,kg,0.7,valid,not_required,yes,no,Officer remark reports valid documentation and no threshold exceedance. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.35,quota-based,deidentified_rule_mapped,yes
CASE_0035,Montreal-inspired,MON_R03,industrial_facility,HCFC_batch,use,no,no,valid,not_applicable,41.6,125.8,kg,0.331,verified,not_required,no,no,Officer remark reports valid documentation and no threshold exceedance. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.76,quota-based,deidentified_rule_mapped,yes
CASE_0036,Basel-inspired,BAS_R02,waste_handler,waste_solvent,export,yes,yes,unavailable,unclear,3028.3,4402.1,kg,0.688,invalid,yes,no,no,Officer remark reports missing record and unverified evidence quality. Hazardous waste movement trail was checked.,15,yes,no,yes,unclear,unknown,no,0.97,document-based,deidentified_rule_mapped,yes
CASE_0037,Basel-inspired,BAS_R01,storage_operator,hazardous_waste,movement,no,no,available,not_applicable,2948,2556.1,kg,1.153,verified,not_required,yes,no,Inspection note confirms required record was available and no breach indicator was observed. Hazardous waste movement trail was checked.,19,no,no,no,yes,no,yes,0.61,document-based,deidentified_rule_mapped,yes
CASE_0038,Basel-inspired,BAS_R05,chemical_exporter,spent_acid,movement,yes,yes,missing,not_applicable,1045.7,1810.3,kg,0.578,valid,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Hazardous waste movement trail was checked.,16,no,no,yes,yes,yes,yes,0.76,document-based,deidentified_rule_mapped,yes
CASE_0039,Rotterdam-inspired,ROT_R04,storage_operator,restricted_solvent,export,yes,yes,expired,not_applicable,2079.7,1755.9,kg,1.184,valid,yes,yes,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Export consent record was reviewed.,15,no,no,yes,yes,yes,yes,0.8,consent-based,deidentified_rule_mapped,yes
CASE_0040,Stockholm-inspired,STO_R02,waste_handler,PCB_stock,storage,yes,yes,refused,invalid,136.3,212.6,kg,0.641,verified,yes,no,yes,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.57,exemption-based,deidentified_rule_mapped,yes
CASE_0041,Minamata-inspired,MIN_R03,storage_operator,mercury_sludge,storage,yes,yes,expired,not_applicable,0.0413,0.022,mg/L,1.877,valid,yes,no,yes,Inspection note states that required authorization was not produced during review. Mercury value and laboratory evidence were examined.,18,no,no,yes,yes,yes,yes,0.35,threshold-based,deidentified_rule_mapped,yes
CASE_0042,Montreal-inspired,MON_R05,waste_handler,refrigerant_stock,import,yes,yes,partial,unclear,791.8,653.9,kg,1.211,unverified,unclear,yes,yes,Officer remark reports missing record and unverified evidence quality. ODS license and quota evidence were examined.,16,yes,no,yes,yes,unknown,no,0.79,quota-based,deidentified_rule_mapped,yes
CASE_0043,Montreal-inspired,MON_R02,storage_operator,CFC_stock,production,yes,yes,missing,not_applicable,374.2,266.5,kg,1.404,verified,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. ODS license and quota evidence were examined.,16,no,no,yes,yes,yes,yes,0.76,quota-based,deidentified_rule_mapped,yes
CASE_0044,Minamata-inspired,MIN_R01,storage_operator,mercury_release,release,yes,yes,refused,not_applicable,0.0435,0.0413,mg/L,1.053,valid,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Mercury value and laboratory evidence were examined.,17,no,no,yes,yes,yes,yes,0.31,threshold-based,deidentified_rule_mapped,yes
CASE_0045,Minamata-inspired,MIN_R05,industrial_facility,mercury_air_emission,release,yes,yes,partial,unclear,0.0436,0.0438,mg/L,0.995,invalid,unclear,yes,no,Inspection note is incomplete and critical evidence could not be verified. Mercury value and laboratory evidence were examined.,18,yes,no,yes,unclear,unknown,no,0.81,threshold-based,deidentified_rule_mapped,yes
CASE_0046,Minamata-inspired,MIN_R05,industrial_facility,mercury_air_emission,release,yes,yes,unavailable,unclear,0.05,0.0438,mg/L,1.142,invalid,yes,no,no,Inspection note is incomplete and critical evidence could not be verified. Mercury value and laboratory evidence were examined.,18,yes,no,yes,yes,unknown,no,0.54,threshold-based,deidentified_rule_mapped,yes
CASE_0047,Minamata-inspired,MIN_R01,chemical_exporter,mercury_release,release,yes,yes,missing,not_applicable,0.0632,0.0413,mg/L,1.53,valid,yes,yes,no,Inspection note states that required authorization was not produced during review. Mercury value and laboratory evidence were examined.,18,no,no,yes,yes,yes,yes,0.4,threshold-based,deidentified_rule_mapped,yes
CASE_0048,Minamata-inspired,MIN_R05,industrial_facility,mercury_air_emission,release,yes,yes,partial,unclear,0.0544,0.0438,mg/L,1.242,partial,no,no,no,Officer remark contains ambiguous mapping and unclear exemption status. Mercury value and laboratory evidence were examined.,16,no,yes,yes,unclear,unknown,partial,0.96,threshold-based,deidentified_rule_mapped,yes
CASE_0049,Basel-inspired,BAS_R02,industrial_facility,waste_solvent,export,no,no,valid,not_applicable,967.8,991.9,kg,0.976,verified,not_required,no,no,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,no,no,yes,0.62,document-based,deidentified_rule_mapped,yes
CASE_0050,Stockholm-inspired,STO_R04,storage_operator,POP_contaminated_material,treatment,yes,yes,unclear,not_recorded,216.4,311,kg,0.696,missing,unclear,yes,yes,Audit observation lacks enough support for a confirmed legal conclusion. POP exemption and disposal status were examined.,17,yes,no,yes,yes,unknown,no,0.83,exemption-based,deidentified_rule_mapped,yes
CASE_0051,Stockholm-inspired,STO_R03,waste_handler,obsolete_pesticide_POP,disposal,yes,yes,refused,invalid,44.7,67.9,kg,0.658,valid,yes,no,no,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.74,exemption-based,deidentified_rule_mapped,yes
CASE_0052,Minamata-inspired,MIN_R01,importer,mercury_release,release,no,yes,not_required,not_applicable,0.0323,0.0413,mg/L,0.782,valid,yes,no,yes,Officer remark reports valid documentation and no threshold exceedance. Mercury value and laboratory evidence were examined.,16,no,no,no,yes,no,yes,0.48,threshold-based,deidentified_rule_mapped,yes
CASE_0053,Basel-inspired,BAS_R01,waste_handler,hazardous_waste,movement,yes,yes,unclear,not_applicable,3155.2,3759.8,kg,0.839,partial,yes,no,no,Inspection note suggests likely breach but one supporting record remains incomplete. Hazardous waste movement trail was checked.,17,yes,no,yes,yes,likely,partial,0.8,document-based,deidentified_rule_mapped,yes
CASE_0054,Basel-inspired,BAS_R04,importer,e_waste_residue,disposal_transfer,no,yes,not_required,valid,2779.8,2581.1,kg,1.077,valid,not_required,no,no,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.33,document-based,deidentified_rule_mapped,yes
CASE_0055,Basel-inspired,BAS_R05,waste_handler,spent_acid,movement,yes,yes,missing,not_applicable,1543.1,3098.3,kg,0.498,valid,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Hazardous waste movement trail was checked.,16,no,no,yes,yes,yes,yes,0.34,document-based,deidentified_rule_mapped,yes
CASE_0056,Minamata-inspired,MIN_R03,chemical_exporter,mercury_sludge,storage,yes,yes,partial,not_applicable,0.0278,0.022,mg/L,1.264,valid,yes,no,yes,Inspection note suggests likely breach but one supporting record remains incomplete. Mercury value and laboratory evidence were examined.,18,yes,no,yes,yes,likely,partial,0.82,threshold-based,deidentified_rule_mapped,yes
CASE_0057,Montreal-inspired,MON_R03,chemical_exporter,HCFC_batch,use,yes,yes,invalid,not_applicable,204,125.8,kg,1.622,valid,yes,yes,no,Inspection note states that required authorization was not produced during review. ODS license and quota evidence were examined.,18,no,no,yes,yes,yes,yes,0.52,quota-based,deidentified_rule_mapped,yes
CASE_0058,Stockholm-inspired,STO_R02,importer,PCB_stock,storage,yes,yes,missing,invalid,289.4,457.5,kg,0.633,valid,yes,yes,yes,Inspection note suggests likely breach but one supporting record remains incomplete. POP exemption and disposal status were examined.,18,no,no,yes,yes,likely,partial,0.78,exemption-based,deidentified_rule_mapped,yes
CASE_0059,Stockholm-inspired,STO_R03,waste_handler,obsolete_pesticide_POP,disposal,yes,yes,partial,not_recorded,505.9,412.8,kg,1.226,unverified,yes,yes,no,Audit observation lacks enough support for a confirmed legal conclusion. POP exemption and disposal status were examined.,17,yes,no,yes,yes,unknown,no,1.05,exemption-based,deidentified_rule_mapped,yes
CASE_0060,Basel-inspired,BAS_R04,chemical_exporter,e_waste_residue,disposal_transfer,yes,yes,missing,not_applicable,290.3,1899.4,kg,0.153,valid,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. Hazardous waste movement trail was checked.,15,no,no,yes,yes,yes,yes,0.82,document-based,deidentified_rule_mapped,yes
CASE_0061,Minamata-inspired,MIN_R01,waste_handler,mercury_release,release,yes,yes,unclear,not_applicable,0.0737,0.0413,mg/L,1.785,valid,yes,no,no,Inspection note suggests likely breach but one supporting record remains incomplete. Mercury value and laboratory evidence were examined.,18,yes,no,yes,yes,likely,partial,0.49,threshold-based,deidentified_rule_mapped,yes
CASE_0062,Basel-inspired,BAS_R05,importer,spent_acid,movement,yes,yes,unclear,not_applicable,499.1,1726.9,kg,0.289,partial,yes,yes,yes,Inspection note suggests likely breach but one supporting record remains incomplete. Hazardous waste movement trail was checked.,17,no,no,yes,yes,likely,partial,0.31,document-based,deidentified_rule_mapped,yes
CASE_0063,Stockholm-inspired,STO_R05,industrial_facility,restricted_flame_retardant,use,yes,yes,partial,not_recorded,44.5,93.9,kg,0.474,unverified,no,yes,yes,Officer remark contains ambiguous mapping and unclear exemption status. POP exemption and disposal status were examined.,16,yes,yes,yes,unclear,likely,partial,0.77,exemption-based,deidentified_rule_mapped,yes
CASE_0064,Basel-inspired,BAS_R04,storage_operator,e_waste_residue,disposal_transfer,no,no,available,valid,2140.5,2263.6,kg,0.946,valid,not_required,no,no,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.68,document-based,deidentified_rule_mapped,yes
CASE_0065,Basel-inspired,BAS_R03,chemical_exporter,contaminated_sludge,transfer,yes,yes,unavailable,unclear,5004.4,4157.8,kg,1.204,unverified,yes,no,no,Officer remark reports missing record and unverified evidence quality. Hazardous waste movement trail was checked.,15,yes,no,yes,yes,unknown,no,0.51,document-based,deidentified_rule_mapped,yes
CASE_0066,Stockholm-inspired,STO_R02,chemical_exporter,PCB_stock,storage,yes,yes,expired,unclear,189.9,202.1,kg,0.94,partial,yes,no,no,Audit observation indicates probable non-compliance pending final evidence verification. POP exemption and disposal status were examined.,16,yes,no,yes,yes,likely,partial,0.5,exemption-based,deidentified_rule_mapped,yes
CASE_0067,Stockholm-inspired,STO_R01,chemical_exporter,listed_POP,use,yes,yes,missing,invalid,44,65.3,kg,0.674,verified,yes,yes,yes,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.47,exemption-based,deidentified_rule_mapped,yes
CASE_0068,Stockholm-inspired,STO_R04,waste_handler,POP_contaminated_material,treatment,yes,yes,missing,not_recorded,157.4,271,kg,0.581,missing,yes,yes,no,Officer remark reports missing record and unverified evidence quality. POP exemption and disposal status were examined.,16,yes,no,yes,unclear,unknown,no,0.59,exemption-based,deidentified_rule_mapped,yes
CASE_0069,Montreal-inspired,MON_R04,storage_operator,ODS_blend,sale,yes,yes,missing,not_applicable,188.3,146,kg,1.29,verified,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. ODS license and quota evidence were examined.,16,no,no,yes,yes,yes,yes,0.65,quota-based,deidentified_rule_mapped,yes
CASE_0070,Basel-inspired,BAS_R02,storage_operator,waste_solvent,export,yes,yes,missing,not_recorded,3257,2997.9,kg,1.086,invalid,unclear,yes,yes,Inspection note is incomplete and critical evidence could not be verified. Hazardous waste movement trail was checked.,17,yes,no,yes,unclear,unknown,no,0.63,document-based,deidentified_rule_mapped,yes
CASE_0071,Minamata-inspired,MIN_R05,industrial_facility,mercury_air_emission,release,yes,yes,partial,conflicting,0.0543,0.0438,mg/L,1.24,unverified,yes,yes,yes,Audit observation shows mixed evidence requiring human legal review. Mercury value and laboratory evidence were examined.,16,yes,yes,yes,yes,likely,partial,0.99,threshold-based,deidentified_rule_mapped,yes
CASE_0072,Montreal-inspired,MON_R04,chemical_exporter,ODS_blend,sale,yes,yes,expired,not_applicable,256.7,146,kg,1.758,verified,yes,no,no,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.42,quota-based,deidentified_rule_mapped,yes
CASE_0073,Rotterdam-inspired,ROT_R04,industrial_facility,restricted_solvent,export,yes,yes,conflicting,conflicting,375.3,2146,kg,0.175,partial,yes,no,yes,Audit observation shows mixed evidence requiring human legal review. Export consent record was reviewed.,14,yes,yes,yes,unclear,likely,partial,1.03,consent-based,deidentified_rule_mapped,yes
CASE_0074,Minamata-inspired,MIN_R03,waste_handler,mercury_sludge,storage,yes,yes,valid,valid,0.01,0.022,mg/L,0.455,verified,not_required,no,yes,Audit observation shows activity did not trigger violation condition. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,no,yes,0.43,threshold-based,deidentified_rule_mapped,yes
CASE_0075,Stockholm-inspired,STO_R02,industrial_facility,PCB_stock,storage,yes,yes,invalid,invalid,120.2,421.6,kg,0.285,verified,yes,yes,yes,Audit observation confirms breach indicators with supporting document gap. POP exemption and disposal status were examined.,16,no,no,yes,yes,yes,yes,0.38,exemption-based,deidentified_rule_mapped,yes
CASE_0076,Minamata-inspired,MIN_R02,storage_operator,mercury_waste,waste_handling,yes,yes,partial,not_applicable,0.0334,0.0291,mg/L,1.148,partial,yes,no,yes,Audit observation indicates probable non-compliance pending final evidence verification. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,likely,partial,0.78,threshold-based,deidentified_rule_mapped,yes
CASE_0077,Rotterdam-inspired,ROT_R04,waste_handler,restricted_solvent,export,yes,yes,conflicting,conflicting,450.6,545.9,kg,0.825,valid,no,no,no,Audit observation shows mixed evidence requiring human legal review. Export consent record was reviewed.,14,no,yes,yes,unclear,likely,partial,0.75,consent-based,deidentified_rule_mapped,yes
CASE_0078,Stockholm-inspired,STO_R05,industrial_facility,restricted_flame_retardant,use,yes,yes,unclear,unclear,83.8,355.4,kg,0.236,valid,yes,yes,no,Officer remark reports partial document trail and possible controlled activity. POP exemption and disposal status were examined.,17,yes,no,yes,yes,likely,partial,0.88,exemption-based,deidentified_rule_mapped,yes
CASE_0079,Basel-inspired,BAS_R04,importer,e_waste_residue,disposal_transfer,yes,yes,missing,not_applicable,2599.8,2626,kg,0.99,valid,yes,no,yes,Audit observation indicates probable non-compliance pending final evidence verification. Hazardous waste movement trail was checked.,15,no,no,yes,yes,likely,partial,0.35,document-based,deidentified_rule_mapped,yes
CASE_0080,Minamata-inspired,MIN_R03,chemical_exporter,mercury_sludge,storage,yes,yes,missing,not_applicable,0.0361,0.022,mg/L,1.641,partial,yes,no,no,Officer remark reports partial document trail and possible controlled activity. Mercury value and laboratory evidence were examined.,17,yes,no,yes,yes,likely,partial,0.64,threshold-based,deidentified_rule_mapped,yes
CASE_0081,Rotterdam-inspired,ROT_R03,importer,industrial_precursor,shipment,yes,no,not_required,valid,1171.3,1487.5,kg,0.787,valid,not_required,yes,no,Audit observation shows activity did not trigger violation condition. Export consent record was reviewed.,14,no,no,no,yes,no,yes,0.89,consent-based,deidentified_rule_mapped,yes
CASE_0082,Rotterdam-inspired,ROT_R04,waste_handler,restricted_solvent,export,yes,no,valid,valid,310.5,760.5,kg,0.408,valid,not_required,yes,no,Audit observation shows activity did not trigger violation condition. Export consent record was reviewed.,14,no,no,no,yes,no,yes,0.37,consent-based,deidentified_rule_mapped,yes
CASE_0083,Montreal-inspired,MON_R03,chemical_exporter,HCFC_batch,use,yes,yes,unavailable,not_recorded,108,125.8,kg,0.859,missing,yes,yes,yes,Audit observation lacks enough support for a confirmed legal conclusion. ODS license and quota evidence were examined.,17,yes,no,yes,unclear,unknown,no,0.97,quota-based,deidentified_rule_mapped,yes
CASE_0084,Minamata-inspired,MIN_R05,waste_handler,mercury_air_emission,release,yes,yes,unavailable,not_recorded,0.0502,0.0438,mg/L,1.146,unverified,unclear,no,yes,Audit observation lacks enough support for a confirmed legal conclusion. Mercury value and laboratory evidence were examined.,17,yes,no,yes,yes,unknown,no,0.83,threshold-based,deidentified_rule_mapped,yes
