file_name,column_name,data_type,allowed_values,description,input_or_output,used_for_training,used_for_validation,sensitive_status,example_value,leakage_control_note,source_category
rule_library.csv,active_flag,string/numeric,see file,Rule library field: active_flag,input,yes,no,non-sensitive rule template,yes,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,version,string/numeric,see file,Rule library field: version,input,yes,no,non-sensitive rule template,v1.0,safe input/metadata after de-identification,machine_readable_rule
environmental_cases.csv,case_id,string/numeric/text,see file,De-identified case attribute: case_id,input,no,no,de-identified,CASE_0001,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,rule_family,string/numeric/text,see file,De-identified case attribute: rule_family,input,yes,no,de-identified,Rotterdam-inspired,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,candidate_rule_id,string/numeric/text,see file,De-identified case attribute: candidate_rule_id,input,yes,no,de-identified,ROT_R05,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,entity_type,string/numeric/text,see file,De-identified case attribute: entity_type,input,yes,no,de-identified,storage_operator,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,material_type,string/numeric/text,see file,De-identified case attribute: material_type,input,yes,no,de-identified,listed_formulation,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,action_type,string/numeric/text,see file,De-identified case attribute: action_type,input,yes,no,de-identified,cross_border_sale,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,is_regulated_item,string/numeric/text,see file,De-identified case attribute: is_regulated_item,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,is_controlled_action,string/numeric/text,see file,De-identified case attribute: is_controlled_action,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,required_document_status,string/numeric/text,see file,De-identified case attribute: required_document_status,input,yes,no,de-identified,missing,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,exemption_status,string/numeric/text,see file,De-identified case attribute: exemption_status,input,yes,no,de-identified,not_applicable,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,observed_value,string/numeric/text,see file,De-identified case attribute: observed_value,input,yes,no,de-identified,220.8,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,legal_limit,string/numeric/text,see file,De-identified case attribute: legal_limit,input,yes,no,de-identified,1993.9,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,unit,string/numeric/text,see file,De-identified case attribute: unit,input,yes,no,de-identified,kg,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,exceedance_ratio,string/numeric/text,see file,De-identified case attribute: exceedance_ratio,input,yes,no,de-identified,0.111,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,evidence_quality,string/numeric/text,see file,De-identified case attribute: evidence_quality,input,yes,no,de-identified,verified,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,domestic_mapping_available,string/numeric/text,see file,De-identified case attribute: domestic_mapping_available,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,prior_warning,string/numeric/text,see file,De-identified case attribute: prior_warning,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,repeat_event,string/numeric/text,see file,De-identified case attribute: repeat_event,input,yes,no,de-identified,no,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,inspection_text,string/numeric/text,see file,De-identified case attribute: inspection_text,input,yes,no,de-identified,Inspection note states that required authorization was not produced during review. Export consent record was reviewed.,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,normalized_text_length_words,string/numeric/text,see file,De-identified case attribute: normalized_text_length_words,input,yes,no,de-identified,16,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,missing_critical_field,string/numeric/text,see file,De-identified case attribute: missing_critical_field,input,yes,no,de-identified,no,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,structured_text_conflict,string/numeric/text,see file,De-identified case attribute: structured_text_conflict,input,yes,no,de-identified,no,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,rule_applicability,string/numeric/text,see file,De-identified case attribute: rule_applicability,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,obligation_exists,string/numeric/text,see file,De-identified case attribute: obligation_exists,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,factual_breach_indicator,string/numeric/text,see file,De-identified case attribute: factual_breach_indicator,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,evidence_complete,string/numeric/text,see file,De-identified case attribute: evidence_complete,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,case_complexity_score,string/numeric/text,see file,De-identified case attribute: case_complexity_score,input,yes,no,de-identified,0.65,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,rule_logic_type,string/numeric/text,see file,De-identified case attribute: rule_logic_type,input,yes,no,de-identified,consent-based,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,public_record_flag,string/numeric/text,see file,De-identified case attribute: public_record_flag,input,no,no,de-identified,deidentified_rule_mapped,safe input/metadata after de-identification,rule_mapped_case
environmental_cases.csv,deidentified,string/numeric/text,see file,De-identified case attribute: deidentified,input,yes,no,de-identified,yes,safe input/metadata after de-identification,rule_mapped_case
case_outputs.csv,case_id,string/numeric/json/text,see file,Reference or framework output field: case_id,output,no,yes,de-identified output,CASE_0001,excluded from model inputs,reference_or_framework_output
case_outputs.csv,expected_rule_id,string/numeric/json/text,see file,Reference or framework output field: expected_rule_id,output,no,yes,de-identified output,ROT_R05,excluded from model inputs,reference_or_framework_output
case_outputs.csv,expected_proof_state,string/numeric/json/text,see file,Reference or framework output field: expected_proof_state,output,no,yes,de-identified output,confirmed_violation,excluded from model inputs,reference_or_framework_output
case_outputs.csv,expected_corrective_action,string/numeric/json/text,see file,Reference or framework output field: expected_corrective_action,output,no,yes,de-identified output,Hold export; obtain prior consent; submit authorization record,excluded from model inputs,reference_or_framework_output
case_outputs.csv,expected_human_review_flag,string/numeric/json/text,see file,Reference or framework output field: expected_human_review_flag,output,no,yes,de-identified output,no,excluded from model inputs,reference_or_framework_output
case_outputs.csv,predicted_rule_id,string/numeric/json/text,see file,Reference or framework output field: predicted_rule_id,output,no,yes,de-identified output,ROT_R05,excluded from model inputs,reference_or_framework_output
case_outputs.csv,predicted_proof_state,string/numeric/json/text,see file,Reference or framework output field: predicted_proof_state,output,no,yes,de-identified output,confirmed_violation,excluded from model inputs,reference_or_framework_output
case_outputs.csv,validated_proof_state,string/numeric/json/text,see file,Reference or framework output field: validated_proof_state,output,no,yes,de-identified output,confirmed_violation,excluded from model inputs,reference_or_framework_output
case_outputs.csv,proof_state_confidence,string/numeric/json/text,see file,Reference or framework output field: proof_state_confidence,output,no,yes,de-identified output,0.893,excluded from model inputs,reference_or_framework_output
case_outputs.csv,supporting_evidence,string/numeric/json/text,see file,Reference or framework output field: supporting_evidence,output,no,yes,de-identified output,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,excluded from model inputs,reference_or_framework_output
case_outputs.csv,missing_evidence,string/numeric/json/text,see file,Reference or framework output field: missing_evidence,output,no,yes,de-identified output,complete required document,excluded from model inputs,reference_or_framework_output
case_outputs.csv,evidence_matrix_json,string/numeric/json/text,see file,Reference or framework output field: evidence_matrix_json,output,no,yes,de-identified output,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",excluded from model inputs,reference_or_framework_output
case_outputs.csv,framework_corrective_action,string/numeric/json/text,see file,Reference or framework output field: framework_corrective_action,output,no,yes,de-identified output,Hold export; obtain prior consent; submit authorization record,excluded from model inputs,reference_or_framework_output
case_outputs.csv,framework_case_file_summary,string/numeric/json/text,see file,Reference or framework output field: framework_case_file_summary,output,no,yes,de-identified output,"CASE_0001: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",excluded from model inputs,reference_or_framework_output
case_outputs.csv,human_review_flag,string/numeric/json/text,see file,Reference or framework output field: human_review_flag,output,no,yes,de-identified output,no,excluded from model inputs,reference_or_framework_output
case_outputs.csv,unsupported_claim_flag,string/numeric/json/text,see file,Reference or framework output field: unsupported_claim_flag,output,no,yes,de-identified output,no,excluded from model inputs,reference_or_framework_output
case_outputs.csv,legal_validation_passed,string/numeric/json/text,see file,Reference or framework output field: legal_validation_passed,output,no,yes,de-identified output,yes,excluded from model inputs,reference_or_framework_output
case_outputs.csv,evidence_completeness_score,string/numeric/json/text,see file,Reference or framework output field: evidence_completeness_score,output,no,yes,de-identified output,0.904,excluded from model inputs,reference_or_framework_output
case_outputs.csv,rule_match_flag,string/numeric/json/text,see file,Reference or framework output field: rule_match_flag,output,no,yes,de-identified output,yes,excluded from model inputs,reference_or_framework_output
case_outputs.csv,model_variant,string/numeric/json/text,see file,Reference or framework output field: model_variant,output,no,yes,de-identified output,EnvLex-Lite,excluded from model inputs,reference_or_framework_output
case_outputs.csv,output_version,string/numeric/json/text,see file,Reference or framework output field: output_version,output,no,yes,de-identified output,v1.0,excluded from model inputs,reference_or_framework_output
train_ids.csv,case_id,string/numeric,see file,Split metadata field: case_id,metadata,no,yes,de-identified split metadata,CASE_0001,safe input/metadata after de-identification,split_metadata
train_ids.csv,split,string/numeric,see file,Split metadata field: split,metadata,no,yes,de-identified split metadata,train,safe input/metadata after de-identification,split_metadata
train_ids.csv,split_ratio,string/numeric,see file,Split metadata field: split_ratio,metadata,no,yes,de-identified split metadata,70/15/15,safe input/metadata after de-identification,split_metadata
train_ids.csv,rule_family,string/numeric,see file,Split metadata field: rule_family,metadata,no,yes,de-identified split metadata,Rotterdam-inspired,safe input/metadata after de-identification,split_metadata
train_ids.csv,reference_proof_state,string/numeric,see file,Split metadata field: reference_proof_state,metadata,no,yes,de-identified split metadata,confirmed_violation,safe input/metadata after de-identification,split_metadata
train_ids.csv,candidate_rule_id,string/numeric,see file,Split metadata field: candidate_rule_id,metadata,no,yes,de-identified split metadata,ROT_R05,safe input/metadata after de-identification,split_metadata
train_ids.csv,material_type,string/numeric,see file,Split metadata field: material_type,metadata,no,yes,de-identified split metadata,listed_formulation,safe input/metadata after de-identification,split_metadata
train_ids.csv,action_type,string/numeric,see file,Split metadata field: action_type,metadata,no,yes,de-identified split metadata,cross_border_sale,safe input/metadata after de-identification,split_metadata
train_ids.csv,stratification_key,string/numeric,see file,Split metadata field: stratification_key,metadata,no,yes,de-identified split metadata,Rotterdam-inspired__confirmed_violation,safe input/metadata after de-identification,split_metadata
train_ids.csv,row_index,string/numeric,see file,Split metadata field: row_index,metadata,no,yes,de-identified split metadata,1,safe input/metadata after de-identification,split_metadata
train_ids.csv,fold_id,string/numeric,see file,Split metadata field: fold_id,metadata,no,yes,de-identified split metadata,0,safe input/metadata after de-identification,split_metadata
train_ids.csv,leakage_checked,string/numeric,see file,Split metadata field: leakage_checked,metadata,no,yes,de-identified split metadata,yes,safe input/metadata after de-identification,split_metadata
val_ids.csv,case_id,string/numeric,see file,Split metadata field: case_id,metadata,no,yes,de-identified split metadata,CASE_0001,safe input/metadata after de-identification,split_metadata
val_ids.csv,split,string/numeric,see file,Split metadata field: split,metadata,no,yes,de-identified split metadata,train,safe input/metadata after de-identification,split_metadata
val_ids.csv,split_ratio,string/numeric,see file,Split metadata field: split_ratio,metadata,no,yes,de-identified split metadata,70/15/15,safe input/metadata after de-identification,split_metadata
val_ids.csv,rule_family,string/numeric,see file,Split metadata field: rule_family,metadata,no,yes,de-identified split metadata,Rotterdam-inspired,safe input/metadata after de-identification,split_metadata
val_ids.csv,reference_proof_state,string/numeric,see file,Split metadata field: reference_proof_state,metadata,no,yes,de-identified split metadata,confirmed_violation,safe input/metadata after de-identification,split_metadata
val_ids.csv,candidate_rule_id,string/numeric,see file,Split metadata field: candidate_rule_id,metadata,no,yes,de-identified split metadata,ROT_R05,safe input/metadata after de-identification,split_metadata
val_ids.csv,material_type,string/numeric,see file,Split metadata field: material_type,metadata,no,yes,de-identified split metadata,listed_formulation,safe input/metadata after de-identification,split_metadata
val_ids.csv,action_type,string/numeric,see file,Split metadata field: action_type,metadata,no,yes,de-identified split metadata,cross_border_sale,safe input/metadata after de-identification,split_metadata
val_ids.csv,stratification_key,string/numeric,see file,Split metadata field: stratification_key,metadata,no,yes,de-identified split metadata,Rotterdam-inspired__confirmed_violation,safe input/metadata after de-identification,split_metadata
val_ids.csv,row_index,string/numeric,see file,Split metadata field: row_index,metadata,no,yes,de-identified split metadata,1,safe input/metadata after de-identification,split_metadata
val_ids.csv,fold_id,string/numeric,see file,Split metadata field: fold_id,metadata,no,yes,de-identified split metadata,0,safe input/metadata after de-identification,split_metadata
val_ids.csv,leakage_checked,string/numeric,see file,Split metadata field: leakage_checked,metadata,no,yes,de-identified split metadata,yes,safe input/metadata after de-identification,split_metadata
test_ids.csv,case_id,string/numeric,see file,Split metadata field: case_id,metadata,no,yes,de-identified split metadata,CASE_0001,safe input/metadata after de-identification,split_metadata
test_ids.csv,split,string/numeric,see file,Split metadata field: split,metadata,no,yes,de-identified split metadata,train,safe input/metadata after de-identification,split_metadata
test_ids.csv,split_ratio,string/numeric,see file,Split metadata field: split_ratio,metadata,no,yes,de-identified split metadata,70/15/15,safe input/metadata after de-identification,split_metadata
test_ids.csv,rule_family,string/numeric,see file,Split metadata field: rule_family,metadata,no,yes,de-identified split metadata,Rotterdam-inspired,safe input/metadata after de-identification,split_metadata
test_ids.csv,reference_proof_state,string/numeric,see file,Split metadata field: reference_proof_state,metadata,no,yes,de-identified split metadata,confirmed_violation,safe input/metadata after de-identification,split_metadata
test_ids.csv,candidate_rule_id,string/numeric,see file,Split metadata field: candidate_rule_id,metadata,no,yes,de-identified split metadata,ROT_R05,safe input/metadata after de-identification,split_metadata
test_ids.csv,material_type,string/numeric,see file,Split metadata field: material_type,metadata,no,yes,de-identified split metadata,listed_formulation,safe input/metadata after de-identification,split_metadata
test_ids.csv,action_type,string/numeric,see file,Split metadata field: action_type,metadata,no,yes,de-identified split metadata,cross_border_sale,safe input/metadata after de-identification,split_metadata
test_ids.csv,stratification_key,string/numeric,see file,Split metadata field: stratification_key,metadata,no,yes,de-identified split metadata,Rotterdam-inspired__confirmed_violation,safe input/metadata after de-identification,split_metadata
test_ids.csv,row_index,string/numeric,see file,Split metadata field: row_index,metadata,no,yes,de-identified split metadata,1,safe input/metadata after de-identification,split_metadata
test_ids.csv,fold_id,string/numeric,see file,Split metadata field: fold_id,metadata,no,yes,de-identified split metadata,0,safe input/metadata after de-identification,split_metadata
test_ids.csv,leakage_checked,string/numeric,see file,Split metadata field: leakage_checked,metadata,no,yes,de-identified split metadata,yes,safe input/metadata after de-identification,split_metadata
